id,nombre_ingrediente_es,nombre_ingrediente_en,protein_g,fat_g,energy_kcal,carbohydrate_g,fecha_creacion,fecha_modificacion
1,aceitunas negras,,,,349.0,,2026-02-15T20:45:27.456066+00:00,2026-02-15T20:45:27+00:00
2,aceitunas verdes,,,,132.0,,2026-02-15T20:45:27.472348+00:00,2026-02-15T20:45:27+00:00
3,acelgas,,,,33.0,,2026-02-15T20:45:27.478741+00:00,2026-02-15T20:45:27+00:00
4,ajos,,,,169.0,,2026-02-15T20:45:27.483995+00:00,2026-02-15T20:45:27+00:00
5,alcachofas,,,,64.0,,2026-02-15T20:45:27.489103+00:00,2026-02-15T20:45:27+00:00
6,apio,,,,20.0,,2026-02-15T20:45:27.495241+00:00,2026-02-15T20:45:27+00:00
7,berenjena,,,,29.0,,2026-02-15T20:45:27.500308+00:00,2026-02-15T20:45:27+00:00
8,berros,,,,21.0,,2026-02-15T20:45:27.505257+00:00,2026-02-15T20:45:27+00:00
9,brócoli,,,,31.0,,2026-02-15T20:45:27.512896+00:00,2026-02-15T20:45:27+00:00
10,calabacín,,,,31.0,,2026-02-15T20:45:27.517684+00:00,2026-02-15T20:45:27+00:00
11,calabaza,,,,24.0,,2026-02-15T20:45:27.522797+00:00,2026-02-15T20:45:27+00:00
12,cebolla,,,,47.0,,2026-02-15T20:45:27.527785+00:00,2026-02-15T20:45:27+00:00
13,cebolla tierna,,,,39.0,,2026-02-15T20:45:27.532578+00:00,2026-02-15T20:45:27+00:00
14,champiñón y otras setas,,,,28.0,,2026-02-15T20:45:27.537303+00:00,2026-02-15T20:45:27+00:00
15,col,,,,28.0,,2026-02-15T20:45:27.541946+00:00,2026-02-15T20:45:27+00:00
16,col de bruselas,,,,54.0,,2026-02-15T20:45:27.547115+00:00,2026-02-15T20:45:27+00:00
17,coliflor,,,,30.0,,2026-02-15T20:45:27.551759+00:00,2026-02-15T20:45:27+00:00
18,endibia,,,,22.0,,2026-02-15T20:45:27.556868+00:00,2026-02-15T20:45:27+00:00
19,escarola,,,,37.0,,2026-02-15T20:45:27.561957+00:00,2026-02-15T20:45:27+00:00
20,espárragos,,,,26.0,,2026-02-15T20:45:27.566675+00:00,2026-02-15T20:45:27+00:00
21,espárragos en lata,,,,24.0,,2026-02-15T20:45:27.572069+00:00,2026-02-15T20:45:27+00:00
22,espinaca,,,,32.0,,2026-02-15T20:45:27.577429+00:00,2026-02-15T20:45:27+00:00
23,espinacas congeladas,,,,25.0,,2026-02-15T20:45:27.583016+00:00,2026-02-15T20:45:27+00:00
24,habas tiernas,,,,64.0,,2026-02-15T20:45:27.593729+00:00,2026-02-15T20:45:27+00:00
25,hinojo,,,,16.0,,2026-02-15T20:45:27.599323+00:00,2026-02-15T20:45:27+00:00
26,lechuga,,,,18.0,,2026-02-15T20:45:27.604536+00:00,2026-02-15T20:45:27+00:00
27,nabos,,,,29.0,,2026-02-15T20:45:27.612502+00:00,2026-02-15T20:45:27+00:00
28,papas cocidas,,,,86.0,,2026-02-15T20:45:27.619592+00:00,2026-02-15T20:45:27+00:00
29,pepino,,,,12.0,,2026-02-15T20:45:27.627127+00:00,2026-02-15T20:45:27+00:00
30,perejil,,,,55.0,,2026-02-15T20:45:27.635541+00:00,2026-02-15T20:45:27+00:00
